Customer_Id,Customer_Login_type,Gender
100000,Member,Male
100001,Member,Male
100002,Guest,Female
100003,Member,Male
100004,Member,Female
100005,Member,Male
100006,Member,Male
100007,Member,Male
100008,Member,Female
100009,Member,Female
100010,Member,Male
100011,Member,Female
100012,Member,Female
100013,Member,Female
100014,Member,Female
100015,Member,Female
100016,Member,Female
100017,Member,Male
100018,Member,Female
100019,Member,Male
100020,Guest,Male
100021,Member,Female
100022,Member,Male
100023,Member,Female
100024,Member,Male
100025,Member,Male
100026,Member,Male
100027,Member,Male
100028,Member,Female
100029,Member,Male
100030,Member,Female
100031,Member,Male
100032,Member,Female
100033,Member,Male
100034,Member,Female
100035,Member,Male
100036,Member,Female
100037,Member,Female
100038,Member,Female
100039,Member,Female
100040,Member,Female
100041,Member,Male
100042,Guest,Male
100043,Guest,Female
100044,Guest,Female
100045,Guest,Female
100046,Member,Male
100047,Member,Female
100048,Member,Male
100049,Member,Male
100050,Member,Male
100051,Member,Male
100052,Guest,Female
100053,Member,Male
100054,Member,Female
100055,Member,Female
100056,Member,Female
100057,Member,Male
100058,Member,Female
100059,Member,Male
100060,Member,Male
100061,Member,Female
100062,Member,Male
100063,Guest,Female
100064,Member,Female
100065,Member,Male
100066,Member,Male
100067,Member,Female
100068,Member,Female
100069,Member,Female
100070,Member,Female
100071,Member,Male
100072,Member,Female
100073,Member,Female
100074,Member,Male
100075,Member,Female
100076,Member,Female
100077,Member,Male
100078,Member,Male
100079,Guest,Male
100080,Member,Female
100081,Member,Female
100082,Member,Male
100083,Member,Male
100084,Member,Male
100085,Member,Female
100086,Member,Male
100087,Member,Female
100088,Member,Female
100089,Member,Female
100090,Member,Male
100091,Member,Female
100092,Member,Male
100093,Member,Male
100094,Member,Female
100095,Member,Male
100096,Member,Male
100097,Member,Male
100098,Member,Female
100099,Member,Female
100100,Guest,Female
100101,Member,Female
100102,Member,Female
100103,Member,Male
100104,Member,Male
100105,Member,Female
100106,Member,Female
100107,Guest,Male
100108,Member,Male
100109,Member,Male
100110,Member,Female
100111,Member,Female
100112,Member,Male
100113,Member,Female
100114,Member,Female
100115,Member,Male
100116,Member,Female
100117,Member,Male
100118,Member,Female
100119,Member,Female
100120,Member,Female
100121,Member,Male
100122,Guest,Male
100123,Member,Female
100124,Member,Female
100125,Member,Male
100126,Member,Female
100127,Member,Female
100128,Member,Male
100129,Member,Male
100130,Member,Female
100131,Member,Female
100132,Member,Male
100133,Member,Female
100134,Member,Female
100135,Member,Male
100136,Member,Female
100137,Member,Male
100138,Guest,Female
100139,Member,Male
100140,Member,Female
100141,Member,Female
100142,Member,Female
100143,Member,Female
100144,Member,Male
100145,Member,Male
100146,Member,Female
100147,Member,Female
100148,Member,Female
100149,Member,Male
100150,Member,Female
100151,Member,Male
100152,Member,Female
100153,Member,Male
100154,Member,Male
100155,Member,Male
100156,Member,Male
100157,Member,Male
100158,Member,Female
100159,Member,Female
100160,Member,Female
100161,Member,Female
100162,Member,Male
100163,Member,Male
100164,Guest,Female
100165,Member,Female
100166,Guest,Female
100167,Member,Male
100168,Member,Male
100169,Member,Female
100170,Member,Male
100171,Member,Female
100172,Member,Female
100173,Guest,Male
100174,Member,Male
100175,Member,Male
100176,Member,Female
100177,Member,Female
100178,Member,Male
100179,Member,Female
100180,Member,Male
100181,Member,Male
100182,Member,Female
100183,Member,Male
100184,Member,Male
100185,Member,Male
100186,Member,Male
100187,Member,Female
100188,Member,Female
100189,Member,Female
100190,Member,Female
100191,Guest,Male
100192,Member,Male
100193,Member,Female
100194,Member,Male
100195,Member,Male
100196,Member,Male
100197,Member,Male
100198,Member,Female
100199,Guest,Female
100200,Member,Male
100201,Member,Female
100202,Member,Female
100203,Member,Male
100204,Member,Male
100205,Member,Female
100206,Member,Female
100207,Member,Male
100208,Member,Female
100209,Member,Female
100210,Member,Male
100211,Member,Female
100212,Member,Female
100213,Member,Female
100214,Member,Male
100215,Member,Male
100216,Member,Male
100217,Member,Male
100218,Guest,Male
100219,Member,Male
100220,Member,Male
100221,Member,Female
100222,Member,Female
100223,Member,Male
100224,Guest,Male
100225,Member,Male
100226,Member,Female
100227,Member,Male
100228,Guest,Female
100229,Member,Female
100230,Member,Female
100231,Guest,Female
100232,Member,Female
100233,Guest,Female
100234,Member,Female
100235,Member,Female
100236,Member,Female
100237,Guest,Female
100238,Member,Female
100239,Member,Male
100240,Member,Female
100241,Member,Female
100242,Member,Female
100243,Member,Male
100244,Member,Female
100245,Member,Male
100246,Member,Female
100247,Member,Male
100248,Member,Male
100249,Member,Female
100250,Member,Female
100251,Member,Male
100252,Member,Male
100253,Guest,Female
100254,Member,Female
100255,Member,Male
100256,Member,Female
100257,Member,Male
100258,Member,Male
100259,Guest,Male
100260,Member,Female
100261,Member,Female
100262,Member,Male
100263,Member,Male
100264,Member,Female
100265,Member,Female
100266,Member,Female
100267,Member,Male
100268,Member,Male
100269,Member,Male
100270,Member,Female
100271,Member,Male
100272,Guest,Male
100273,Member,Female
100274,Member,Male
100275,Member,Female
100276,Member,Male
100277,Guest,Male
100278,Member,Female
100279,Member,Female
100280,Member,Male
100281,Member,Female
100282,Member,Male
100283,Guest,Male
100284,Member,Male
100285,Member,Male
100286,Member,Male
100287,Member,Female
100288,Member,Male
100289,Member,Male
100290,Member,Female
100291,Member,Male
100292,Member,Male
100293,Member,Male
100294,Member,Female
100295,Member,Female
100296,Member,Female
100297,Member,Male
100298,Member,Female
100299,Guest,Male
100300,Member,Female
100301,Member,Female
100302,Member,Male
100303,Member,Male
100304,Member,Female
100305,Member,Male
100306,Member,Male
100307,Member,Male
100308,Member,Male
100309,Member,Female
100310,Guest,Female
100311,Member,Male
100312,Member,Female
100313,Member,Female
100314,Member,Male
100315,Member,Female
100316,Member,Female
100317,Member,Male
100318,Member,Female
100319,Member,Male
100320,Member,Male
100321,Member,Female
100322,Member,Female
100323,Member,Female
100324,Member,Male
100325,Member,Female
100326,Member,Female
100327,Member,Female
100328,Member,Male
100329,Member,Female
100330,Member,Female
100331,Member,Female
100332,Member,Female
100333,Member,Female
100334,Member,Male
100335,Member,Female
100336,Member,Male
100337,Member,Female
100338,Member,Male
100339,Member,Male
100340,Member,Male
100341,Member,Female
100342,Guest,Male
100343,Guest,Male
100344,Member,Male
100345,Member,Female
100346,Member,Male
100347,Member,Male
100348,Member,Male
100349,Member,Female
100350,Member,Female
100351,Member,Female
100352,Member,Female
100353,Guest,Female
100354,Member,Female
100355,Member,Female
100356,Member,Female
100357,Member,Male
100358,Member,Male
100359,Member,Female
100360,Member,Female
100361,Member,Female
100362,Member,Male
100363,Member,Male
100364,Member,Male
100365,Member,Male
100366,Member,Male
100367,Member,Female
100368,Member,Female
100369,Member,Female
100370,Member,Female
100371,Guest,Male
100372,Member,Male
100373,Member,Female
100374,Member,Female
100375,Member,Female
100376,Member,Female
100377,Guest,Female
100378,Member,Male
100379,Guest,Female
100380,Member,Male
100381,Member,Female
100382,Member,Female
100383,Member,Male
100384,Member,Male
100385,Member,Female
100386,Member,Female
100387,Member,Female
100388,Member,Male
100389,Guest,Female
100390,Member,Male
100391,Member,Male
100392,Member,Female
100393,Member,Male
100394,Member,Female
100395,Guest,Male
100396,Member,Male
100397,Member,Male
100398,Member,Female
100399,Member,Female
100400,Member,Female
100401,Member,Female
100402,Member,Male
100403,Member,Female
100404,Member,Female
100405,Member,Female
100406,Member,Female
100407,Member,Female
100408,Member,Female
100409,Member,Male
100410,Member,Male
100411,Member,Male
100412,Member,Female
100413,Guest,Female
100414,Guest,Male
100415,Guest,Female
100416,Member,Male
100417,Member,Female
100418,Member,Male
100419,Member,Male
100420,Member,Male
100421,Member,Female
100422,Member,Female
100423,Member,Male
100424,Member,Male
100425,Member,Female
100426,Member,Female
100427,Member,Female
100428,Member,Male
100429,Member,Female
100430,Member,Female
100431,Member,Male
100432,Member,Female
100433,Member,Female
100434,Member,Female
100435,Member,Male
100436,Member,Male
100437,Member,Male
100438,Member,Male
100439,Guest,Female
100440,Member,Female
100441,Member,Female
100442,Guest,Male
100443,Member,Female
100444,Guest,Male
100445,Member,Male
100446,Member,Male
100447,Member,Male
100448,Member,Male
100449,Member,Female
100450,Member,Female
100451,Member,Female
100452,Member,Female
100453,Member,Female
100454,Member,Male
100455,Member,Female
100456,Member,Female
100457,Member,Female
100458,Member,Male
100459,Member,Male
100460,Member,Male
100461,Member,Male
100462,Member,Female
100463,Member,Male
100464,Member,Female
100465,Member,Female
100466,Guest,Male
100467,Member,Male
100468,Member,Female
100469,Member,Female
100470,Member,Female
100471,Guest,Female
100472,Member,Male
100473,Member,Male
100474,Guest,Female
100475,Member,Female
100476,Guest,Female
100477,Member,Male
100478,Member,Female
100479,Member,Male
100480,Member,Female
100481,Member,Female
100482,Member,Male
100483,Member,Female
100484,Member,Male
100485,Member,Female
100486,Guest,Male
100487,Member,Female
100488,Guest,Female
100489,Member,Male
100490,Member,Female
100491,Member,Female
100492,Member,Female
100493,Member,Female
100494,Member,Female
100495,Member,Male
100496,Member,Female
100497,Member,Male
100498,Member,Male
100499,Member,Female
100500,Guest,Male
100501,Guest,Male
100502,Member,Male
100503,Member,Male
100504,Member,Male
100505,Member,Female
100506,Member,Male
100507,Member,Female
100508,Member,Male
100509,Member,Female
100510,Member,Male
100511,Member,Male
100512,Guest,Male
100513,Member,Female
100514,Member,Female
100515,Member,Male
100516,Member,Male
100517,Member,Female
100518,Member,Female
100519,Member,Male
100520,Member,Male
100521,Guest,Male
100522,Guest,Female
100523,Guest,Female
100524,Member,Male
100525,Member,Female
100526,Member,Female
100527,Member,Male
100528,Member,Female
100529,Member,Male
100530,Member,Female
100531,Member,Male
100532,Member,Male
100533,Member,Male
100534,Member,Male
100535,Member,Female
100536,Member,Female
100537,Member,Female
100538,Member,Male
100539,Member,Male
100540,Member,Male
100541,Member,Female
100542,Member,Male
100543,Member,Female
100544,Member,Male
100545,Guest,Male
100546,Member,Male
100547,Member,Male
100548,Member,Female
100549,Member,Male
100550,Member,Male
100551,Member,Female
100552,Member,Female
100553,Member,Male
100554,Member,Female
100555,Member,Male
100556,Member,Male
100557,Member,Female
100558,Member,Male
100559,Member,Female
100560,Member,Female
100561,Guest,Male
100562,Member,Male
100563,Member,Male
100564,Member,Male
100565,Member,Female
100566,Member,Male
100567,Member,Female
100568,Guest,Male
100569,Member,Female
100570,Member,Female
100571,Member,Male
100572,Member,Male
100573,Member,Male
100574,Member,Female
100575,Member,Male
100576,Member,Female
100577,Member,Female
100578,Member,Female
100579,Member,Male
100580,Member,Female
100581,Member,Female
100582,Member,Female
100583,Member,Female
100584,Member,Female
100585,Guest,Male
100586,Member,Male
100587,Member,Female
100588,Member,Male
100589,Member,Female
100590,Member,Male
100591,Member,Male
100592,Member,Female
100593,Member,Male
100594,Member,Female
100595,Member,Female
100596,Member,Male
100597,Member,Male
100598,Member,Male
100599,Member,Male
100600,Member,Female
100601,Member,Male
100602,Member,Male
100603,Member,Male
100604,Member,Male
100605,Member,Female
100606,Member,Male
100607,Member,Male
100608,Member,Female
100609,Member,Female
100610,Member,Male
100611,Member,Female
100612,Guest,Female
100613,Member,Male
100614,Member,Male
100615,Member,Male
100616,Member,Female
100617,Member,Female
100618,Member,Female
100619,Member,Female
100620,Member,Male
100621,Member,Male
100622,Member,Male
100623,Member,Female
100624,Member,Female
100625,Member,Male
100626,Member,Female
100627,Member,Female
100628,Member,Female
100629,Member,Male
100630,Member,Female
100631,Member,Male
100632,Member,Female
100633,Guest,Male
