Order_Date,Time,Aging,Customer_Id,Device_Type,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method,Order_ID,Product_ID
2023-04-06,03:59:43,7.4,107212,Web,85.0,5.0,0.4,17.0,1.7,High,credit_card,51282,12
2023-07-02,00:43:18,5.2,103053,Web,62.0,2.0,0.5,31.0,3.1,Medium,debit_card,51283,16
2023-02-09,16:52:13,4.4,149488,Web,62.0,1.0,0.4,62.0,6.2,Medium,credit_card,51284,16
2023-05-20,21:16:12,6.7,117025,Web,62.0,1.0,0.5,62.0,6.2,Critical,e_wallet,51285,16
2023-03-24,17:09:49,3.2,119200,Web,62.0,1.0,0.5,62.0,6.2,High,credit_card,51286,16
2023-01-16,10:08:25,1.3,125705,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51287,16
2023-02-24,03:18:36,7.8,110708,Web,62.0,5.0,0.5,12.4,1.2,High,credit_card,51288,16
2023-09-15,14:12:49,2.4,149351,Mobile,130.0,3.0,0.2,30.5,3.1,Low,credit_card,51289,31
2023-08-07,08:39:22,4.6,107512,Web,78.0,1.0,0.2,15.6,1.6,Medium,e_wallet,51290,37
2023-07-06,03:58:01,8.7,122584,Mobile,62.0,1.0,0.5,62.0,6.2,Critical,credit_card,51291,16
2023-09-06,06:54:37,5.6,128977,Mobile,70.0,1.0,0.2,70.0,7.0,Low,debit_card,51292,40
2023-12-23,12:16:02,5.9,104400,Web,62.0,1.0,0.4,62.0,6.2,Medium,credit_card,51293,16
2023-10-08,02:42:25,1.6,110337,Web,62.0,2.0,0.5,31.0,3.1,Medium,money_order,51294,16
2023-06-17,13:51:53,7.7,137504,Web,62.0,1.0,0.5,62.0,6.2,High,debit_card,51295,16
2023-10-02,23:45:33,7.6,102965,Web,62.0,2.0,0.4,31.0,3.1,Medium,credit_card,51296,16
2023-01-25,09:39:35,7.0,129410,Web,85.0,5.0,0.4,17.0,1.7,High,money_order,51297,12
2023-09-13,16:26:21,1.7,148855,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51298,16
2023-03-12,03:37:43,9.2,135807,Web,62.0,1.0,0.4,62.0,6.2,Low,debit_card,51299,16
2023-09-25,12:46:31,6.6,139988,Web,159.0,3.0,0.4,59.9,6.0,High,e_wallet,51300,18
2023-08-17,11:39:22,3.8,150113,Web,228.0,5.0,0.5,136.6,13.7,High,credit_card,51301,17
2023-02-05,23:40:21,9.4,143592,Web,62.0,2.0,0.5,31.0,3.1,Medium,credit_card,51302,16
2023-10-13,06:00:42,3.0,132652,Web,62.0,2.0,0.5,31.0,3.1,Critical,credit_card,51303,16
2023-04-03,13:20:16,7.8,149666,Web,62.0,2.0,0.5,31.0,3.1,Medium,e_wallet,51304,16
2023-09-09,22:58:02,6.1,161778,Web,62.0,2.0,0.5,31.0,3.1,Medium,credit_card,51305,16
2023-12-10,23:08:47,9.3,158880,Web,62.0,5.0,0.5,12.4,1.2,Medium,debit_card,51306,16
2023-03-06,18:10:44,5.8,154432,Web,62.0,5.0,0.5,12.4,1.2,Critical,credit_card,51307,16
2023-10-15,13:57:25,4.5,106034,Web,62.0,1.0,0.4,62.0,6.2,Medium,credit_card,51308,16
2023-11-06,20:01:45,6.1,154135,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51309,16
2023-02-19,11:47:01,2.9,103481,Web,62.0,1.0,0.4,62.0,6.2,Medium,debit_card,51310,16
2023-03-07,16:33:23,3.6,159874,Web,62.0,5.0,0.5,12.4,1.2,Medium,debit_card,51311,16
2023-10-11,01:08:05,1.9,157511,Web,62.0,1.0,0.5,62.0,6.2,Medium,debit_card,51312,16
2023-11-03,10:57:35,3.1,100776,Web,62.0,1.0,0.4,62.0,6.2,Medium,credit_card,51313,16
2023-06-06,15:30:20,2.0,141675,Web,78.0,1.0,0.3,78.0,7.8,Medium,credit_card,51314,37
2023-02-23,03:05:21,7.2,128749,Web,34.0,1.0,0.5,6.8,0.7,High,credit_card,51315,34
2023-07-16,11:53:39,9.7,107928,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51316,16
2023-02-11,16:01:49,2.7,151075,Web,192.0,3.0,0.2,89.0,8.9,Medium,credit_card,51317,29
2023-08-01,00:28:07,4.4,135011,Web,218.0,2.0,0.2,129.3,12.9,Critical,credit_card,51318,10
2023-10-22,20:08:22,8.2,140520,Web,62.0,5.0,0.5,12.4,1.2,Critical,e_wallet,51319,16
2023-10-17,13:38:30,3.3,130960,Web,62.0,1.0,0.5,62.0,6.2,High,credit_card,51320,16
2023-04-02,07:06:47,4.5,153277,Web,85.0,5.0,0.4,17.0,1.7,Critical,debit_card,51321,12
2023-08-25,00:04:50,7.6,116936,Web,62.0,5.0,0.5,12.4,1.2,Medium,debit_card,51322,16
2023-12-01,22:21:48,1.1,152694,Web,62.0,1.0,0.4,62.0,6.2,High,credit_card,51323,16
2023-11-06,20:45:52,2.4,104809,Web,109.0,4.0,0.3,15.9,1.6,Medium,credit_card,51324,11
2023-10-23,14:42:14,8.2,107398,Web,62.0,5.0,0.4,12.4,1.2,Medium,e_wallet,51325,16
2023-10-07,05:36:19,1.3,110537,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51326,16
2023-01-09,19:20:46,2.2,160545,Web,70.0,1.0,0.2,70.0,7.0,Critical,debit_card,51327,40
2023-06-17,21:26:23,6.9,140037,Web,62.0,2.0,0.4,31.0,3.1,Medium,money_order,51328,16
2023-06-03,10:35:29,9.6,148666,Web,85.0,5.0,0.4,17.0,1.7,High,debit_card,51329,12
2023-06-06,06:15:26,7.4,152837,Web,62.0,5.0,0.5,12.4,1.2,High,debit_card,51330,16
2023-08-25,06:29:42,5.0,108150,Web,62.0,5.0,0.5,12.4,1.2,Medium,credit_card,51331,16
2023-10-18,00:57:39,3.3,137725,Web,85.0,5.0,0.5,17.0,1.7,Medium,credit_card,51332,12
2023-05-20,07:45:30,1.6,135254,Web,62.0,5.0,0.5,12.4,1.2,Critical,credit_card,51333,16
2023-08-13,07:47:32,5.7,105882,Web,62.0,1.0,0.4,62.0,6.2,Medium,debit_card,51334,16
2023-10-16,16:07:03,9.3,153070,Web,62.0,1.0,0.4,62.0,6.2,Medium,debit_card,51335,16
2023-11-09,09:47:31,1.8,142330,Web,70.0,1.0,0.2,70.0,7.0,Medium,debit_card,51336,40
2023-11-14,01:25:31,2.0,112998,Web,62.0,5.0,0.5,12.4,1.2,High,money_order,51337,16
2023-03-06,22:08:37,5.3,153497,Web,85.0,5.0,0.5,17.0,1.7,Critical,credit_card,51338,12
2023-09-06,00:01:10,9.2,108278,Web,62.0,5.0,0.5,12.4,1.2,Critical,e_wallet,51339,16
2023-07-06,03:47:51,2.8,101634,Web,62.0,5.0,0.4,12.4,1.2,Critical,credit_card,51340,16
2023-04-27,20:38:33,7.9,148777,Web,67.0,1.0,0.2,67.0,6.7,Medium,credit_card,51341,36
2023-06-26,01:02:02,6.8,135553,Web,62.0,1.0,0.5,62.0,6.2,Critical,e_wallet,51342,16
2023-12-11,17:39:13,1.5,142742,Web,62.0,2.0,0.5,31.0,3.1,Critical,debit_card,51343,16
2023-05-19,11:50:37,8.9,123343,Web,196.0,4.0,0.2,100.3,10.0,Medium,debit_card,51344,9
2023-02-08,11:38:59,6.7,161821,Web,216.0,2.0,0.4,101.4,10.1,Medium,credit_card,51345,32
2023-02-18,05:35:05,6.8,158240,Web,62.0,5.0,0.5,12.4,1.2,High,debit_card,51346,16
2023-02-19,08:27:56,7.3,140303,Web,62.0,1.0,0.4,62.0,6.2,Medium,credit_card,51347,16
2023-06-12,14:07:53,6.9,127192,Web,62.0,5.0,0.5,12.4,1.2,High,credit_card,51348,16
2023-11-04,20:12:46,2.7,101358,Web,62.0,5.0,0.5,12.4,1.2,Critical,e_wallet,51349,16
2023-07-02,18:57:17,9.3,148801,Web,114.0,5.0,0.2,22.6,2.3,Low,e_wallet,51350,7
2023-05-22,21:20:20,4.7,130799,Web,62.0,2.0,0.4,31.0,3.1,High,credit_card,51351,16
2023-02-11,07:21:35,6.1,117144,Web,213.0,1.0,0.1,126.6,12.7,High,credit_card,51352,15
2023-06-11,08:31:12,6.7,152635,Mobile,62.0,5.0,0.5,12.4,1.2,High,credit_card,51353,16
2023-10-26,14:11:08,1.9,135903,Web,62.0,1.0,0.5,62.0,6.2,Medium,credit_card,51354,16
2023-07-19,20:07:36,5.8,148134,Web,62.0,1.0,0.4,62.0,6.2,High,money_order,51355,16
2023-09-09,19:20:25,2.4,130967,Web,62.0,1.0,0.5,62.0,6.2,Medium,debit_card,51356,16
2023-09-07,19:25:44,3.6,135082,Web,62.0,5.0,0.5,12.4,1.2,Critical,credit_card,51357,16
2023-08-21,14:13:07,3.0,147432,Web,62.0,1.0,0.5,62.0,6.2,Critical,e_wallet,51358,16
2023-03-27,11:53:58,8.2,103261,Web,62.0,1.0,0.4,62.0,6.2,High,money_order,51359,16
2023-12-09,13:44:39,2.5,125512,Web,62.0,1.0,0.5,62.0,6.2,High,credit_card,51360,16
2023-11-25,04:15:58,4.4,137060,Web,85.0,5.0,0.4,17.0,1.7,Medium,credit_card,51361,12
2023-09-10,05:39:59,4.8,148585,Mobile,62.0,1.0,0.5,62.0,6.2,High,credit_card,51362,16
2023-08-21,18:19:04,4.2,146615,Web,62.0,1.0,0.5,62.0,6.2,High,credit_card,51363,16
2023-12-07,15:50:02,4.0,130691,Web,218.0,4.0,0.4,120.6,12.1,Medium,credit_card,51364,10
2023-02-20,21:52:58,4.4,140995,Web,62.0,1.0,0.5,62.0,6.2,Medium,debit_card,51365,16
2023-02-05,13:46:44,6.8,106191,Web,62.0,5.0,0.5,12.4,1.2,Critical,credit_card,51366,16
2023-06-04,21:23:30,9.6,111954,Web,34.0,4.0,0.4,8.5,0.9,Medium,e_wallet,51367,34
2023-03-20,05:00:22,5.9,158722,Web,78.0,1.0,0.3,78.0,7.8,High,credit_card,51368,37
2023-11-03,23:42:11,8.4,116477,Web,62.0,1.0,0.4,62.0,6.2,High,credit_card,51369,16
2023-12-02,05:03:58,6.0,149818,Web,62.0,1.0,0.4,62.0,6.2,Medium,credit_card,51370,16
2023-09-20,12:14:47,8.2,152660,Web,62.0,2.0,0.5,31.0,3.1,Medium,credit_card,51371,16
2023-10-08,12:40:58,2.2,128303,Web,62.0,5.0,0.4,12.4,1.2,Medium,credit_card,51372,16
2023-04-24,16:47:51,4.9,124175,Web,122.0,3.0,0.4,34.7,3.5,High,e_wallet,51373,13
